step,t_play_ms,file_row,file_t_ms,az_cmd,el_cmd,orbit_push,ir_t_ms,rInterAz,rInterEl,delta_ms,note
0,1779124558000,1,1779124558000,120.46600821284349,19.182619216570288,1,1779124558040.0,120.47067,19.18602,40.0,orbit
1,1779124558010,1,1779124558000,120.46600821284349,19.182619216570288,0,1779124558140.0,120.48242,19.19533,130.0,
2,1779124558020,1,1779124558000,120.46600821284349,19.182619216570288,0,1779124558100.0,120.4777,19.191410000000005,80.0,
3,1779124558030,1,1779124558000,120.46600821284349,19.182619216570288,0,1779124558110.0002,120.47888,19.192369999999997,80.000244140625,
4,1779124558040,1,1779124558000,120.46600821284349,19.182619216570288,0,1779124558120.0,120.48006,19.193340000000006,80.0,
5,1779124558050,1,1779124558000,120.46600821284349,19.182619216570288,0,1779124558129.9998,120.48124,19.194339999999997,79.999755859375,
6,1779124558060,1,1779124558000,120.46600821284349,19.182619216570288,0,1779124558140.0,120.48242,19.19533,80.0,
7,1779124558070,1,1779124558000,120.46600821284349,19.182619216570288,0,1779124558150.0002,120.4836,19.196330000000003,80.000244140625,
8,1779124558080,1,1779124558000,120.46600821284349,19.182619216570288,0,1779124558160.0,120.48479,19.197329999999994,80.0,
9,1779124558090,1,1779124558000,120.46600821284349,19.182619216570288,0,1779124558169.9998,120.48597,19.198319999999995,79.999755859375,
10,1779124558100,2,1779124558100,120.47770170928803,19.19141396950669,1,1779124558140.0,120.48242,19.19533,40.0,orbit
11,1779124558110,2,1779124558100,120.47770170928803,19.19141396950669,0,1779124558240.0,120.49419,19.204710000000006,130.0,
12,1779124558120,2,1779124558100,120.47770170928803,19.19141396950669,0,1779124558200.0,120.48951,19.2012,80.0,
13,1779124558130,2,1779124558100,120.47770170928803,19.19141396950669,0,1779124558209.9998,120.49068,19.2021,79.999755859375,
14,1779124558140,2,1779124558100,120.47770170928803,19.19141396950669,0,1779124558220.0,120.49185,19.202979999999997,80.0,
15,1779124558150,2,1779124558100,120.47770170928803,19.19141396950669,0,1779124558230.0002,120.49301,19.203850000000003,80.000244140625,
16,1779124558160,2,1779124558100,120.47770170928803,19.19141396950669,0,1779124558240.0,120.49419,19.204710000000006,80.0,
17,1779124558170,2,1779124558100,120.47770170928803,19.19141396950669,0,1779124558249.9998,120.49536,19.205569999999994,79.999755859375,
18,1779124558180,2,1779124558100,120.47770170928803,19.19141396950669,0,1779124558260.0,120.49652,19.20644,80.0,
19,1779124558190,2,1779124558100,120.47770170928803,19.19141396950669,0,1779124558270.0002,120.4977,19.207310000000007,80.000244140625,
20,1779124558200,3,1779124558200,120.48951377233345,19.201200805512645,1,1779124558240.0,120.49419,19.204710000000006,40.0,orbit
21,1779124558210,3,1779124558200,120.48951377233345,19.201200805512645,0,1779124558340.0,120.50594,19.213899999999995,130.0,
22,1779124558220,3,1779124558200,120.48951377233345,19.201200805512645,0,1779124558300.0,120.50121,19.209999999999994,80.0,
23,1779124558230,3,1779124558200,120.48951377233345,19.201200805512645,0,1779124558310.0002,120.5024,19.210949999999997,80.000244140625,
24,1779124558240,3,1779124558200,120.48951377233345,19.201200805512645,0,1779124558320.0,120.50357,19.211929999999995,80.0,
25,1779124558250,3,1779124558200,120.48951377233345,19.201200805512645,0,1779124558329.9998,120.50476,19.212909999999994,79.999755859375,
26,1779124558260,3,1779124558200,120.48951377233345,19.201200805512645,0,1779124558340.0,120.50594,19.213899999999995,80.0,
27,1779124558270,3,1779124558200,120.48951377233345,19.201200805512645,0,1779124558350.0002,120.50713,19.2149,80.000244140625,
