倾角传感器方位采集记录（完整会话）
============================================================
方位角数量: 12
总数据条数: 492
保存时间:   2026-06-05 16:22:46

各方位角汇总
------------------------------------------------------------
方位角 0.000°  条数=41  X均值=+0.720°  Y均值=+83.260°  时段 16:14:04~16:14:24
方位角 30.000°  条数=41  X均值=+0.730°  Y均值=+83.280°  时段 16:14:50~16:15:10
方位角 60.000°  条数=41  X均值=+0.734°  Y均值=+83.307°  时段 16:15:25~16:15:45
方位角 90.000°  条数=41  X均值=+0.727°  Y均值=+83.330°  时段 16:16:02~16:16:23
方位角 120.000°  条数=41  X均值=+0.699°  Y均值=+83.346°  时段 16:16:48~16:17:08
方位角 150.000°  条数=41  X均值=+0.670°  Y均值=+83.347°  时段 16:17:29~16:17:49
方位角 180.000°  条数=41  X均值=+0.640°  Y均值=+83.330°  时段 16:18:11~16:18:31
方位角 -30.000°  条数=41  X均值=+0.704°  Y均值=+83.245°  时段 16:19:31~16:19:51
方位角 -60.000°  条数=41  X均值=+0.680°  Y均值=+83.247°  时段 16:20:13~16:20:33
方位角 -90.000°  条数=41  X均值=+0.660°  Y均值=+83.257°  时段 16:20:51~16:21:11
方位角 -120.000°  条数=41  X均值=+0.632°  Y均值=+83.278°  时段 16:21:28~16:21:48
方位角 -150.000°  条数=41  X均值=+0.630°  Y均值=+83.304°  时段 16:22:07~16:22:27

全部明细数据
------------------------------------------------------------
时间                         方位角(°)       X(°)       Y(°)
------------------------------------------------------------
2026-06-05 16:14:04.508      0.000      0.720     83.260
2026-06-05 16:14:05.018      0.000      0.720     83.260
2026-06-05 16:14:05.514      0.000      0.720     83.260
2026-06-05 16:14:06.011      0.000      0.720     83.260
2026-06-05 16:14:06.511      0.000      0.720     83.260
2026-06-05 16:14:07.021      0.000      0.720     83.260
2026-06-05 16:14:07.518      0.000      0.720     83.260
2026-06-05 16:14:08.013      0.000      0.720     83.260
2026-06-05 16:14:08.509      0.000      0.720     83.260
2026-06-05 16:14:09.020      0.000      0.720     83.260
2026-06-05 16:14:09.520      0.000      0.720     83.260
2026-06-05 16:14:10.015      0.000      0.720     83.260
2026-06-05 16:14:10.525      0.000      0.720     83.260
2026-06-05 16:14:11.024      0.000      0.720     83.260
2026-06-05 16:14:11.519      0.000      0.720     83.260
2026-06-05 16:14:12.015      0.000      0.720     83.260
2026-06-05 16:14:12.514      0.000      0.720     83.260
2026-06-05 16:14:13.028      0.000      0.720     83.260
2026-06-05 16:14:13.523      0.000      0.720     83.260
2026-06-05 16:14:14.023      0.000      0.720     83.260
2026-06-05 16:14:14.521      0.000      0.720     83.260
2026-06-05 16:14:15.015      0.000      0.720     83.260
2026-06-05 16:14:15.529      0.000      0.720     83.260
2026-06-05 16:14:16.024      0.000      0.720     83.260
2026-06-05 16:14:16.521      0.000      0.720     83.260
2026-06-05 16:14:17.030      0.000      0.720     83.260
2026-06-05 16:14:17.528      0.000      0.720     83.260
2026-06-05 16:14:18.021      0.000      0.720     83.260
2026-06-05 16:14:18.520      0.000      0.720     83.260
2026-06-05 16:14:19.037      0.000      0.720     83.260
2026-06-05 16:14:19.519      0.000      0.720     83.260
2026-06-05 16:14:20.029      0.000      0.730     83.260
2026-06-05 16:14:20.525      0.000      0.720     83.260
2026-06-05 16:14:21.030      0.000      0.720     83.260
2026-06-05 16:14:21.521      0.000      0.720     83.260
2026-06-05 16:14:22.032      0.000      0.720     83.260
2026-06-05 16:14:22.531      0.000      0.720     83.260
2026-06-05 16:14:23.026      0.000      0.720     83.260
2026-06-05 16:14:23.524      0.000      0.720     83.260
2026-06-05 16:14:24.033      0.000      0.720     83.260
2026-06-05 16:14:24.297      0.000      0.720     83.260
2026-06-05 16:14:50.961     30.000      0.730     83.280
2026-06-05 16:14:51.460     30.000      0.730     83.280
2026-06-05 16:14:51.957     30.000      0.730     83.280
2026-06-05 16:14:52.453     30.000      0.730     83.280
2026-06-05 16:14:52.965     30.000      0.730     83.280
2026-06-05 16:14:53.458     30.000      0.730     83.280
2026-06-05 16:14:53.966     30.000      0.730     83.280
2026-06-05 16:14:54.461     30.000      0.730     83.280
2026-06-05 16:14:54.957     30.000      0.730     83.280
2026-06-05 16:14:55.456     30.000      0.730     83.280
2026-06-05 16:14:55.966     30.000      0.730     83.280
2026-06-05 16:14:56.463     30.000      0.730     83.280
2026-06-05 16:14:56.959     30.000      0.730     83.280
2026-06-05 16:14:57.464     30.000      0.730     83.280
2026-06-05 16:14:57.956     30.000      0.730     83.280
2026-06-05 16:14:58.463     30.000      0.730     83.280
2026-06-05 16:14:58.963     30.000      0.730     83.280
2026-06-05 16:14:59.465     30.000      0.730     83.280
2026-06-05 16:14:59.971     30.000      0.730     83.280
2026-06-05 16:15:00.467     30.000      0.730     83.280
2026-06-05 16:15:00.961     30.000      0.730     83.280
2026-06-05 16:15:01.471     30.000      0.730     83.280
2026-06-05 16:15:01.969     30.000      0.730     83.280
2026-06-05 16:15:02.464     30.000      0.730     83.280
2026-06-05 16:15:02.959     30.000      0.730     83.280
2026-06-05 16:15:03.470     30.000      0.730     83.280
2026-06-05 16:15:03.963     30.000      0.730     83.280
2026-06-05 16:15:04.477     30.000      0.730     83.280
2026-06-05 16:15:04.973     30.000      0.730     83.280
2026-06-05 16:15:05.471     30.000      0.730     83.280
2026-06-05 16:15:05.963     30.000      0.730     83.280
2026-06-05 16:15:06.473     30.000      0.730     83.280
2026-06-05 16:15:06.969     30.000      0.730     83.280
2026-06-05 16:15:07.462     30.000      0.730     83.280
2026-06-05 16:15:07.973     30.000      0.730     83.280
2026-06-05 16:15:08.474     30.000      0.730     83.280
2026-06-05 16:15:08.967     30.000      0.730     83.280
2026-06-05 16:15:09.467     30.000      0.730     83.280
2026-06-05 16:15:09.967     30.000      0.730     83.280
2026-06-05 16:15:10.478     30.000      0.730     83.280
2026-06-05 16:15:10.739     30.000      0.730     83.280
2026-06-05 16:15:25.856     60.000      0.740     83.310
2026-06-05 16:15:26.351     60.000      0.740     83.310
2026-06-05 16:15:26.850     60.000      0.740     83.310
2026-06-05 16:15:27.358     60.000      0.740     83.300
2026-06-05 16:15:27.849     60.000      0.730     83.300
2026-06-05 16:15:28.346     60.000      0.730     83.310
2026-06-05 16:15:28.856     60.000      0.730     83.310
2026-06-05 16:15:29.351     60.000      0.730     83.310
2026-06-05 16:15:29.848     60.000      0.730     83.310
2026-06-05 16:15:30.356     60.000      0.740     83.310
2026-06-05 16:15:30.855     60.000      0.740     83.310
2026-06-05 16:15:31.350     60.000      0.740     83.300
2026-06-05 16:15:31.859     60.000      0.740     83.300
2026-06-05 16:15:32.355     60.000      0.730     83.310
2026-06-05 16:15:32.855     60.000      0.730     83.310
2026-06-05 16:15:33.349     60.000      0.730     83.310
2026-06-05 16:15:33.860     60.000      0.730     83.310
2026-06-05 16:15:34.353     60.000      0.740     83.300
2026-06-05 16:15:34.856     60.000      0.740     83.300
2026-06-05 16:15:35.364     60.000      0.730     83.300
2026-06-05 16:15:35.864     60.000      0.730     83.300
2026-06-05 16:15:36.363     60.000      0.730     83.310
2026-06-05 16:15:36.861     60.000      0.730     83.310
2026-06-05 16:15:37.371     60.000      0.730     83.300
2026-06-05 16:15:37.857     60.000      0.730     83.310
2026-06-05 16:15:38.354     60.000      0.740     83.310
2026-06-05 16:15:38.853     60.000      0.740     83.310
2026-06-05 16:15:39.353     60.000      0.740     83.310
2026-06-05 16:15:39.863     60.000      0.740     83.310
2026-06-05 16:15:40.362     60.000      0.740     83.300
2026-06-05 16:15:40.860     60.000      0.740     83.300
2026-06-05 16:15:41.366     60.000      0.730     83.300
2026-06-05 16:15:41.863     60.000      0.730     83.310
2026-06-05 16:15:42.354     60.000      0.730     83.310
2026-06-05 16:15:42.865     60.000      0.730     83.310
2026-06-05 16:15:43.362     60.000      0.730     83.310
2026-06-05 16:15:43.861     60.000      0.730     83.310
2026-06-05 16:15:44.359     60.000      0.730     83.310
2026-06-05 16:15:44.867     60.000      0.730     83.310
2026-06-05 16:15:45.359     60.000      0.740     83.310
2026-06-05 16:15:45.620     60.000      0.740     83.310
2026-06-05 16:16:03.224     90.000      0.730     83.330
2026-06-05 16:16:03.735     90.000      0.730     83.330
2026-06-05 16:16:04.234     90.000      0.730     83.330
2026-06-05 16:16:04.733     90.000      0.730     83.330
2026-06-05 16:16:05.229     90.000      0.730     83.330
2026-06-05 16:16:05.728     90.000      0.730     83.330
2026-06-05 16:16:06.240     90.000      0.730     83.330
2026-06-05 16:16:06.736     90.000      0.730     83.330
2026-06-05 16:16:07.236     90.000      0.730     83.330
2026-06-05 16:16:07.728     90.000      0.730     83.330
2026-06-05 16:16:08.227     90.000      0.730     83.330
2026-06-05 16:16:08.742     90.000      0.730     83.330
2026-06-05 16:16:09.241     90.000      0.730     83.330
2026-06-05 16:16:09.738     90.000      0.720     83.330
2026-06-05 16:16:10.238     90.000      0.720     83.330
2026-06-05 16:16:10.737     90.000      0.730     83.330
2026-06-05 16:16:11.233     90.000      0.730     83.330
2026-06-05 16:16:11.733     90.000      0.730     83.330
2026-06-05 16:16:12.244     90.000      0.730     83.330
2026-06-05 16:16:12.738     90.000      0.730     83.330
2026-06-05 16:16:13.238     90.000      0.730     83.330
2026-06-05 16:16:13.745     90.000      0.730     83.330
2026-06-05 16:16:14.240     90.000      0.720     83.330
2026-06-05 16:16:14.737     90.000      0.720     83.330
2026-06-05 16:16:15.234     90.000      0.730     83.330
2026-06-05 16:16:15.746     90.000      0.730     83.330
2026-06-05 16:16:16.242     90.000      0.720     83.330
2026-06-05 16:16:16.741     90.000      0.720     83.330
2026-06-05 16:16:17.242     90.000      0.730     83.330
2026-06-05 16:16:17.739     90.000      0.730     83.330
2026-06-05 16:16:18.237     90.000      0.730     83.330
2026-06-05 16:16:18.749     90.000      0.720     83.330
2026-06-05 16:16:19.244     90.000      0.720     83.330
2026-06-05 16:16:19.743     90.000      0.720     83.330
2026-06-05 16:16:20.239     90.000      0.720     83.330
2026-06-05 16:16:20.738     90.000      0.720     83.330
2026-06-05 16:16:21.241     90.000      0.720     83.330
2026-06-05 16:16:21.750     90.000      0.730     83.330
2026-06-05 16:16:22.248     90.000      0.730     83.330
2026-06-05 16:16:22.748     90.000      0.730     83.330
2026-06-05 16:16:23.009     90.000      0.730     83.330
2026-06-05 16:16:48.455    120.000      0.700     83.350
2026-06-05 16:16:48.957    120.000      0.690     83.350
2026-06-05 16:16:49.449    120.000      0.690     83.350
2026-06-05 16:16:49.946    120.000      0.700     83.350
2026-06-05 16:16:50.445    120.000      0.700     83.350
2026-06-05 16:16:50.958    120.000      0.690     83.350
2026-06-05 16:16:51.456    120.000      0.700     83.340
2026-06-05 16:16:51.951    120.000      0.700     83.340
2026-06-05 16:16:52.449    120.000      0.700     83.340
2026-06-05 16:16:52.948    120.000      0.690     83.340
2026-06-05 16:16:53.462    120.000      0.700     83.350
2026-06-05 16:16:53.960    120.000      0.700     83.350
2026-06-05 16:16:54.459    120.000      0.700     83.350
2026-06-05 16:16:54.957    120.000      0.700     83.340
2026-06-05 16:16:55.453    120.000      0.700     83.340
2026-06-05 16:16:55.964    120.000      0.700     83.350
2026-06-05 16:16:56.461    120.000      0.700     83.350
2026-06-05 16:16:56.960    120.000      0.700     83.350
2026-06-05 16:16:57.458    120.000      0.700     83.350
2026-06-05 16:16:57.967    120.000      0.700     83.350
2026-06-05 16:16:58.462    120.000      0.700     83.340
2026-06-05 16:16:58.960    120.000      0.700     83.340
2026-06-05 16:16:59.458    120.000      0.700     83.350
2026-06-05 16:16:59.957    120.000      0.700     83.350
2026-06-05 16:17:00.454    120.000      0.700     83.350
2026-06-05 16:17:00.968    120.000      0.700     83.350
2026-06-05 16:17:01.455    120.000      0.700     83.340
2026-06-05 16:17:01.968    120.000      0.700     83.340
2026-06-05 16:17:02.467    120.000      0.700     83.340
2026-06-05 16:17:02.962    120.000      0.700     83.350
2026-06-05 16:17:03.462    120.000      0.700     83.350
2026-06-05 16:17:03.961    120.000      0.700     83.350
2026-06-05 16:17:04.460    120.000      0.700     83.350
2026-06-05 16:17:04.967    120.000      0.700     83.340
2026-06-05 16:17:05.471    120.000      0.700     83.340
2026-06-05 16:17:05.970    120.000      0.700     83.350
2026-06-05 16:17:06.472    120.000      0.700     83.350
2026-06-05 16:17:06.964    120.000      0.700     83.350
2026-06-05 16:17:07.460    120.000      0.700     83.340
2026-06-05 16:17:07.970    120.000      0.700     83.340
2026-06-05 16:17:08.232    120.000      0.700     83.340
2026-06-05 16:17:29.553    150.000      0.670     83.350
2026-06-05 16:17:30.046    150.000      0.670     83.340
2026-06-05 16:17:30.558    150.000      0.670     83.350
2026-06-05 16:17:31.058    150.000      0.670     83.350
2026-06-05 16:17:31.552    150.000      0.670     83.350
2026-06-05 16:17:32.072    150.000      0.670     83.350
2026-06-05 16:17:32.557    150.000      0.670     83.350
2026-06-05 16:17:33.054    150.000      0.670     83.350
2026-06-05 16:17:33.551    150.000      0.670     83.340
2026-06-05 16:17:34.051    150.000      0.670     83.340
2026-06-05 16:17:34.548    150.000      0.670     83.350
2026-06-05 16:17:35.059    150.000      0.670     83.350
2026-06-05 16:17:35.561    150.000      0.670     83.350
2026-06-05 16:17:36.061    150.000      0.670     83.350
2026-06-05 16:17:36.558    150.000      0.670     83.350
2026-06-05 16:17:37.053    150.000      0.670     83.350
2026-06-05 16:17:37.549    150.000      0.670     83.340
2026-06-05 16:17:38.064    150.000      0.670     83.350
2026-06-05 16:17:38.559    150.000      0.670     83.350
2026-06-05 16:17:39.054    150.000      0.670     83.350
2026-06-05 16:17:39.567    150.000      0.670     83.350
2026-06-05 16:17:40.066    150.000      0.670     83.350
2026-06-05 16:17:40.564    150.000      0.670     83.350
2026-06-05 16:17:41.059    150.000      0.670     83.340
2026-06-05 16:17:41.555    150.000      0.670     83.340
2026-06-05 16:17:42.068    150.000      0.670     83.350
2026-06-05 16:17:42.569    150.000      0.670     83.350
2026-06-05 16:17:43.065    150.000      0.660     83.350
2026-06-05 16:17:43.563    150.000      0.670     83.340
2026-06-05 16:17:44.061    150.000      0.670     83.340
2026-06-05 16:17:44.555    150.000      0.670     83.350
2026-06-05 16:17:45.064    150.000      0.670     83.350
2026-06-05 16:17:45.565    150.000      0.670     83.350
2026-06-05 16:17:46.067    150.000      0.670     83.350
2026-06-05 16:17:46.562    150.000      0.670     83.350
2026-06-05 16:17:47.062    150.000      0.670     83.350
2026-06-05 16:17:47.562    150.000      0.670     83.350
2026-06-05 16:17:48.061    150.000      0.670     83.350
2026-06-05 16:17:48.559    150.000      0.670     83.340
2026-06-05 16:17:49.072    150.000      0.670     83.340
2026-06-05 16:17:49.336    150.000      0.670     83.340
2026-06-05 16:18:12.039    180.000      0.640     83.330
2026-06-05 16:18:12.551    180.000      0.640     83.330
2026-06-05 16:18:13.036    180.000      0.640     83.330
2026-06-05 16:18:13.545    180.000      0.640     83.330
2026-06-05 16:18:14.037    180.000      0.640     83.330
2026-06-05 16:18:14.543    180.000      0.640     83.330
2026-06-05 16:18:15.039    180.000      0.640     83.330
2026-06-05 16:18:15.551    180.000      0.640     83.330
2026-06-05 16:18:16.051    180.000      0.640     83.330
2026-06-05 16:18:16.550    180.000      0.640     83.330
2026-06-05 16:18:17.049    180.000      0.640     83.330
2026-06-05 16:18:17.547    180.000      0.640     83.330
2026-06-05 16:18:18.044    180.000      0.640     83.330
2026-06-05 16:18:18.540    180.000      0.640     83.330
2026-06-05 16:18:19.051    180.000      0.640     83.330
2026-06-05 16:18:19.554    180.000      0.640     83.330
2026-06-05 16:18:20.056    180.000      0.640     83.330
2026-06-05 16:18:20.546    180.000      0.640     83.330
2026-06-05 16:18:21.045    180.000      0.640     83.330
2026-06-05 16:18:21.553    180.000      0.640     83.330
2026-06-05 16:18:22.053    180.000      0.640     83.330
2026-06-05 16:18:22.551    180.000      0.640     83.330
2026-06-05 16:18:23.049    180.000      0.640     83.330
2026-06-05 16:18:23.554    180.000      0.640     83.330
2026-06-05 16:18:24.049    180.000      0.640     83.330
2026-06-05 16:18:24.546    180.000      0.640     83.330
2026-06-05 16:18:25.059    180.000      0.640     83.330
2026-06-05 16:18:25.556    180.000      0.640     83.330
2026-06-05 16:18:26.053    180.000      0.640     83.330
2026-06-05 16:18:26.554    180.000      0.640     83.330
2026-06-05 16:18:27.059    180.000      0.640     83.330
2026-06-05 16:18:27.555    180.000      0.640     83.330
2026-06-05 16:18:28.051    180.000      0.640     83.330
2026-06-05 16:18:28.556    180.000      0.640     83.330
2026-06-05 16:18:29.051    180.000      0.640     83.330
2026-06-05 16:18:29.564    180.000      0.640     83.330
2026-06-05 16:18:30.062    180.000      0.640     83.330
2026-06-05 16:18:30.558    180.000      0.640     83.330
2026-06-05 16:18:31.056    180.000      0.640     83.330
2026-06-05 16:18:31.556    180.000      0.640     83.330
2026-06-05 16:18:31.828    180.000      0.640     83.330
2026-06-05 16:19:32.197    -30.000      0.700     83.250
2026-06-05 16:19:32.694    -30.000      0.700     83.250
2026-06-05 16:19:33.191    -30.000      0.710     83.250
2026-06-05 16:19:33.685    -30.000      0.710     83.250
2026-06-05 16:19:34.199    -30.000      0.700     83.250
2026-06-05 16:19:34.695    -30.000      0.710     83.250
2026-06-05 16:19:35.190    -30.000      0.710     83.250
2026-06-05 16:19:35.692    -30.000      0.710     83.240
2026-06-05 16:19:36.192    -30.000      0.700     83.250
2026-06-05 16:19:36.702    -30.000      0.710     83.240
2026-06-05 16:19:37.199    -30.000      0.710     83.240
2026-06-05 16:19:37.697    -30.000      0.700     83.240
2026-06-05 16:19:38.192    -30.000      0.700     83.250
2026-06-05 16:19:38.702    -30.000      0.700     83.250
2026-06-05 16:19:39.199    -30.000      0.700     83.250
2026-06-05 16:19:39.694    -30.000      0.710     83.250
2026-06-05 16:19:40.190    -30.000      0.710     83.240
2026-06-05 16:19:40.692    -30.000      0.710     83.240
2026-06-05 16:19:41.203    -30.000      0.710     83.240
2026-06-05 16:19:41.698    -30.000      0.700     83.240
2026-06-05 16:19:42.192    -30.000      0.700     83.240
2026-06-05 16:19:42.699    -30.000      0.700     83.240
2026-06-05 16:19:43.199    -30.000      0.700     83.240
2026-06-05 16:19:43.695    -30.000      0.710     83.240
2026-06-05 16:19:44.204    -30.000      0.700     83.240
2026-06-05 16:19:44.701    -30.000      0.700     83.240
2026-06-05 16:19:45.196    -30.000      0.700     83.240
2026-06-05 16:19:45.697    -30.000      0.700     83.240
2026-06-05 16:19:46.208    -30.000      0.700     83.240
2026-06-05 16:19:46.704    -30.000      0.700     83.250
2026-06-05 16:19:47.201    -30.000      0.700     83.250
2026-06-05 16:19:47.709    -30.000      0.700     83.250
2026-06-05 16:19:48.197    -30.000      0.710     83.250
2026-06-05 16:19:48.696    -30.000      0.710     83.240
2026-06-05 16:19:49.207    -30.000      0.700     83.240
2026-06-05 16:19:49.704    -30.000      0.700     83.240
2026-06-05 16:19:50.204    -30.000      0.700     83.250
2026-06-05 16:19:50.702    -30.000      0.700     83.250
2026-06-05 16:19:51.198    -30.000      0.710     83.250
2026-06-05 16:19:51.698    -30.000      0.710     83.250
2026-06-05 16:19:51.962    -30.000      0.700     83.250
2026-06-05 16:20:13.536    -60.000      0.680     83.250
2026-06-05 16:20:14.033    -60.000      0.680     83.240
2026-06-05 16:20:14.533    -60.000      0.680     83.250
2026-06-05 16:20:15.031    -60.000      0.680     83.250
2026-06-05 16:20:15.527    -60.000      0.680     83.240
2026-06-05 16:20:16.038    -60.000      0.680     83.240
2026-06-05 16:20:16.536    -60.000      0.680     83.240
2026-06-05 16:20:17.031    -60.000      0.680     83.250
2026-06-05 16:20:17.532    -60.000      0.680     83.250
2026-06-05 16:20:18.031    -60.000      0.680     83.250
2026-06-05 16:20:18.541    -60.000      0.680     83.240
2026-06-05 16:20:19.039    -60.000      0.680     83.240
2026-06-05 16:20:19.537    -60.000      0.680     83.250
2026-06-05 16:20:20.039    -60.000      0.680     83.250
2026-06-05 16:20:20.531    -60.000      0.680     83.250
2026-06-05 16:20:21.040    -60.000      0.680     83.250
2026-06-05 16:20:21.534    -60.000      0.680     83.250
2026-06-05 16:20:22.031    -60.000      0.680     83.250
2026-06-05 16:20:22.543    -60.000      0.680     83.250
2026-06-05 16:20:23.040    -60.000      0.680     83.250
2026-06-05 16:20:23.539    -60.000      0.680     83.240
2026-06-05 16:20:24.036    -60.000      0.690     83.240
2026-06-05 16:20:24.535    -60.000      0.690     83.250
2026-06-05 16:20:25.045    -60.000      0.680     83.250
2026-06-05 16:20:25.546    -60.000      0.680     83.250
2026-06-05 16:20:26.045    -60.000      0.680     83.250
2026-06-05 16:20:26.541    -60.000      0.680     83.250
2026-06-05 16:20:27.042    -60.000      0.680     83.250
2026-06-05 16:20:27.538    -60.000      0.680     83.250
2026-06-05 16:20:28.048    -60.000      0.680     83.250
2026-06-05 16:20:28.546    -60.000      0.680     83.240
2026-06-05 16:20:29.049    -60.000      0.680     83.250
2026-06-05 16:20:29.549    -60.000      0.680     83.250
2026-06-05 16:20:30.045    -60.000      0.680     83.250
2026-06-05 16:20:30.543    -60.000      0.680     83.250
2026-06-05 16:20:31.042    -60.000      0.680     83.250
2026-06-05 16:20:31.543    -60.000      0.680     83.250
2026-06-05 16:20:32.039    -60.000      0.680     83.250
2026-06-05 16:20:32.549    -60.000      0.680     83.240
2026-06-05 16:20:33.048    -60.000      0.680     83.240
2026-06-05 16:20:33.312    -60.000      0.680     83.240
2026-06-05 16:20:52.152    -90.000      0.660     83.250
2026-06-05 16:20:52.653    -90.000      0.660     83.260
2026-06-05 16:20:53.164    -90.000      0.660     83.260
2026-06-05 16:20:53.656    -90.000      0.660     83.250
2026-06-05 16:20:54.156    -90.000      0.660     83.250
2026-06-05 16:20:54.669    -90.000      0.660     83.250
2026-06-05 16:20:55.163    -90.000      0.660     83.250
2026-06-05 16:20:55.658    -90.000      0.660     83.250
2026-06-05 16:20:56.168    -90.000      0.660     83.260
2026-06-05 16:20:56.665    -90.000      0.660     83.260
2026-06-05 16:20:57.157    -90.000      0.660     83.250
2026-06-05 16:20:57.668    -90.000      0.660     83.250
2026-06-05 16:20:58.167    -90.000      0.660     83.250
2026-06-05 16:20:58.660    -90.000      0.660     83.260
2026-06-05 16:20:59.160    -90.000      0.660     83.250
2026-06-05 16:20:59.669    -90.000      0.660     83.250
2026-06-05 16:21:00.159    -90.000      0.660     83.250
2026-06-05 16:21:00.660    -90.000      0.660     83.260
2026-06-05 16:21:01.168    -90.000      0.660     83.260
2026-06-05 16:21:01.664    -90.000      0.660     83.260
2026-06-05 16:21:02.165    -90.000      0.660     83.260
2026-06-05 16:21:02.661    -90.000      0.660     83.260
2026-06-05 16:21:03.172    -90.000      0.660     83.260
2026-06-05 16:21:03.669    -90.000      0.660     83.260
