方位角(度),时间,X(度),Y(度)
-180.000,2026-06-05 17:35:09.003,0.640,83.340
-180.000,2026-06-05 17:35:09.499,0.640,83.340
-180.000,2026-06-05 17:35:10.010,0.640,83.340
-180.000,2026-06-05 17:35:10.501,0.640,83.340
-180.000,2026-06-05 17:35:10.994,0.640,83.340
-180.000,2026-06-05 17:35:11.501,0.640,83.340
-180.000,2026-06-05 17:35:11.995,0.640,83.340
-180.000,2026-06-05 17:35:12.504,0.640,83.340
-180.000,2026-06-05 17:35:12.997,0.640,83.340
-180.000,2026-06-05 17:35:13.495,0.640,83.340
-180.000,2026-06-05 17:35:14.006,0.640,83.340
-180.000,2026-06-05 17:35:14.497,0.640,83.340
-180.000,2026-06-05 17:35:15.006,0.640,83.340
-180.000,2026-06-05 17:35:15.501,0.640,83.340
-180.000,2026-06-05 17:35:15.997,0.640,83.340
-180.000,2026-06-05 17:35:16.509,0.640,83.340
-180.000,2026-06-05 17:35:17.003,0.640,83.340
-180.000,2026-06-05 17:35:17.502,0.640,83.340
-180.000,2026-06-05 17:35:18.008,0.640,83.340
-180.000,2026-06-05 17:35:18.503,0.640,83.340
-180.000,2026-06-05 17:35:18.762,0.640,83.340
-165.000,2026-06-05 17:35:25.997,0.630,83.320
-165.000,2026-06-05 17:35:26.507,0.630,83.320
-165.000,2026-06-05 17:35:27.003,0.630,83.330
-165.000,2026-06-05 17:35:27.498,0.630,83.330
-165.000,2026-06-05 17:35:27.994,0.630,83.330
-165.000,2026-06-05 17:35:28.505,0.630,83.330
-165.000,2026-06-05 17:35:28.998,0.630,83.330
-165.000,2026-06-05 17:35:29.494,0.630,83.330
-165.000,2026-06-05 17:35:30.004,0.630,83.330
-165.000,2026-06-05 17:35:30.497,0.630,83.330
-165.000,2026-06-05 17:35:31.009,0.630,83.330
-165.000,2026-06-05 17:35:31.503,0.630,83.330
-165.000,2026-06-05 17:35:31.999,0.630,83.330
-165.000,2026-06-05 17:35:32.508,0.630,83.330
-165.000,2026-06-05 17:35:33.000,0.630,83.330
-165.000,2026-06-05 17:35:33.510,0.630,83.330
-165.000,2026-06-05 17:35:34.003,0.630,83.330
-165.000,2026-06-05 17:35:34.511,0.630,83.330
-165.000,2026-06-05 17:35:35.010,0.630,83.330
-165.000,2026-06-05 17:35:35.508,0.630,83.320
-165.000,2026-06-05 17:35:35.772,0.630,83.320
-150.000,2026-06-05 17:35:42.650,0.630,83.310
-150.000,2026-06-05 17:35:43.159,0.630,83.310
-150.000,2026-06-05 17:35:43.658,0.630,83.310
-150.000,2026-06-05 17:35:44.158,0.630,83.320
-150.000,2026-06-05 17:35:44.665,0.630,83.310
-150.000,2026-06-05 17:35:45.156,0.630,83.310
-150.000,2026-06-05 17:35:45.666,0.630,83.310
-150.000,2026-06-05 17:35:46.160,0.630,83.320
-150.000,2026-06-05 17:35:46.659,0.630,83.310
-150.000,2026-06-05 17:35:47.166,0.630,83.310
-150.000,2026-06-05 17:35:47.657,0.630,83.310
-150.000,2026-06-05 17:35:48.168,0.630,83.310
-150.000,2026-06-05 17:35:48.665,0.630,83.310
-150.000,2026-06-05 17:35:49.159,0.630,83.310
-150.000,2026-06-05 17:35:49.664,0.630,83.310
-150.000,2026-06-05 17:35:50.171,0.630,83.310
-150.000,2026-06-05 17:35:50.667,0.630,83.310
-150.000,2026-06-05 17:35:51.161,0.630,83.310
-150.000,2026-06-05 17:35:51.657,0.630,83.310
-150.000,2026-06-05 17:35:52.166,0.630,83.310
-150.000,2026-06-05 17:35:52.426,0.630,83.310
-135.000,2026-06-05 17:35:59.655,0.630,83.300
-135.000,2026-06-05 17:36:00.147,0.630,83.300
-135.000,2026-06-05 17:36:00.654,0.630,83.300
-135.000,2026-06-05 17:36:01.146,0.630,83.300
-135.000,2026-06-05 17:36:01.657,0.630,83.300
-135.000,2026-06-05 17:36:02.155,0.630,83.300
-135.000,2026-06-05 17:36:02.664,0.620,83.300
-135.000,2026-06-05 17:36:03.163,0.630,83.300
-135.000,2026-06-05 17:36:03.659,0.630,83.300
-135.000,2026-06-05 17:36:04.155,0.630,83.300
-135.000,2026-06-05 17:36:04.664,0.630,83.300
-135.000,2026-06-05 17:36:05.159,0.620,83.300
-135.000,2026-06-05 17:36:05.657,0.620,83.300
-135.000,2026-06-05 17:36:06.152,0.620,83.300
-135.000,2026-06-05 17:36:06.663,0.620,83.300
-135.000,2026-06-05 17:36:07.158,0.620,83.300
-135.000,2026-06-05 17:36:07.654,0.630,83.300
-135.000,2026-06-05 17:36:08.165,0.630,83.300
-135.000,2026-06-05 17:36:08.658,0.630,83.300
-135.000,2026-06-05 17:36:09.168,0.630,83.300
-135.000,2026-06-05 17:36:09.435,0.620,83.300
-120.000,2026-06-05 17:36:16.600,0.630,83.280
-120.000,2026-06-05 17:36:17.098,0.630,83.290
-120.000,2026-06-05 17:36:17.605,0.630,83.280
-120.000,2026-06-05 17:36:18.100,0.630,83.280
-120.000,2026-06-05 17:36:18.611,0.630,83.280
-120.000,2026-06-05 17:36:19.110,0.630,83.290
-120.000,2026-06-05 17:36:19.604,0.630,83.280
-120.000,2026-06-05 17:36:20.114,0.630,83.280
-120.000,2026-06-05 17:36:20.605,0.630,83.280
-120.000,2026-06-05 17:36:21.115,0.630,83.290
-120.000,2026-06-05 17:36:21.611,0.630,83.280
